clean the apartment,dọn phòng,/kliːn ðiː əˈpɑːt.mənt/
clean the house,dọn nhà,/kliːn ðiː haʊs/
do the laundry,giặt đồ,/də ðiː ˈlɔːn.dri/
watch TV,xem TV,/wɒtʃ /
play basketball,chơi bóng chuyền,/pleɪ ˈbɑː.skɪt.bɔːl/
iron,ủi đồ,/aɪən/
listen to the radio,nghe radio,/ˈlɪs.ən tuː ðiː ˈreɪ.di.əʊ/
play the guitar,chơi guitar,/pleɪ ðiː ɡɪˈtɑːr/
sweep the floor,quét sàn nhà,/swiːp ðiː flɔːr/
feed the baby,cho em bé ăn,/fiːd ðiː ˈbeɪ.bi/
listen to music,nghe nhạc,/ˈlɪs.ən tuː ˈmjuː.zɪk/
practice the piano,tập luyện piano,/ˈpræk.tɪs ðiː piˈæn.əʊ/
dust,chùi bụi bẩn ,/dʌst/
feed the cat,cho mèo ăn,/fiːd ðiː kæt/
read,đọc,/riːd/
study,học,/ˈstʌd.i/
vacuum,hút bụi ,/ˈvæk.juːm/
walkthe dog,dắt chó đi dạo,/ dɒɡ/
play,chơi,/pleɪ/
exercise,luyện tập,/ˈek.sə.saɪz/
wash the dishes,rửa bát đĩa,/wɒʃ ðiː dɪʃ/
get up,thức dậy,/ɡet ʌp/
get undressed,cởi đồ,/ɡet /
make breakfast,làm bữa ăn sáng,/meɪk ˈbrek.fəst/
take a shower,tắm vòi sen,/teɪk ə ʃaʊər/
put on makeup,trang điểm,/pʊt ɒn ˈmeɪkˌʌp/
take a bath,tắm bồn,/teɪk ə bɑːθ/
make lunch,làm bữa trưa,/meɪk lʌntʃ/
brush my teeth,đánh răng,/brʌʃ maɪ tiːθ/
brush my hair,chải tóc ,/brʌʃ maɪ heər/
go to bed,đi ngủ,/ɡəʊ tuː bed/
make dinner,làm bữa tối,/meɪk ˈdɪn.ər/
floss my teeth,xỉa răng,/flɒs maɪ tiːθ/
comb my hair,chải tóc ,/kəʊm maɪ heər/
sleep,ngủ,/sliːp/
have breakfast,ăn buổi sáng,/hæv ˈbrek.fəst/
shave,cạo râu,/ʃeɪv/
make the bed,dọn giường,/meɪk ðiː bed/
have lunch,ăn buổi trưa,/hæv lʌntʃ/
get dressed,mặc áo quần,/ɡet drest/
have dinner,ăn buổi tối,/hæv ˈdɪn.ər/
wash my* face,rửa mặt 1,/wɒʃ maɪ feɪs/
cook,nấu ăn,/kʊk/
