powder,phấn,/ˈpaʊ.dər/
deodorant,chất khử mùi,/diˈəʊ.dər.ənt/
after shave lotion,kem bôi sau khi cạo râu,/ˈɑːf.tər ʃeɪv ˈləʊ.ʃən/
shaving creme,kem cạo râu,/ˈʃeɪ.vɪŋ /
dental floss,chỉ nha khoa,/ˈden.təl flɒs/
mouthwash,nước súc miệng,/ˈmaʊθ.wɒʃ/
hairspray,keo xịt tóc,//
conditioner,dầu dưỡng tóc,/kənˈdɪʃ.ən.ər/
shampoo,dầu gội đầu,/ʃæmˈpuː/
barrettes,kẹp tóc,/bəˈret/
bobby pins,kẹp tóc nhỏ ,/ˈbɒb.i pɪn/
tweezers,cái nhíp,//
scissors,cái kéo,/ˈsɪz.ər/
nail brush,bàn chải đánh móng tay,/neɪl brʌʃ/
emery board,dũa móng tay ,/ˈem.ər.i bɔːd/
nail file,giũa móng tay (1),/neɪl faɪl/
shower cap,mũ tắm,/ʃaʊər kæp/
styptic pencil,bút cầm máu,/ ˈpen.səl/
electric shaver,máy cạo râu,/iˈlek.trɪk ˈʃeɪ.vər/
electric razor,electric shaver,/iˈlek.trɪk ˈreɪ.zər/
razor,dao cạo,/ˈreɪ.zər/
brush,bàn chải,/brʌʃ/
comb,cái lược,/kəʊm/
rinse,conditioner ,/rɪns/
mascara,Đồ vuốt lông mi,/mæsˈkɑː.rə/
eye liner,bút kẻ mắt ,/aɪ ˈlaɪ.nər/
eye shadow,Bộ kẻ màu mắt,/aɪ ˈʃæd.əʊ/
lipstick,son môi,/ˈlɪp.stɪk/
foundation,phấn nền,/faʊnˈdeɪ.ʃən/
base,foundation ,/beɪs/
nail polish remover,Tẩy sơn móng tay,/neɪl ˈpɒl.ɪʃ rɪˈmuː.vər/
nail polish,sơn móng tay,/neɪl ˈpɒl.ɪʃ/
shoe polish,xi đánh giày,/ʃuː ˈpɒl.ɪʃ/
cologne,nước hoa,/kəˈləʊn/
perfume,cologne,/ˈpɜː.fjuːm/
hand lotion,kem dưỡng da tay,/hænd ˈləʊ.ʃən/
toothpaste,kem đánh rang,/ˈtuːθ.peɪst/
hair clips,kẹp tóc (1),/heər klɪp/
nail clipper,cắt móng tay ,/neɪl ˈklɪp.ər/
razor blades,lưỡi dao cạo,/ˈreɪ.zər bleɪd/
rouge,phấn đánh má hồng,/ruːʒ/
blush,rouge ,/blʌʃ/
