comforter,quilt ,/ˈkʌm.fə.tər/
bedspread,ra trải giường,/ˈbed.spred/
electric blanket,chăn điện,/iˈlek.trɪk ˈblæŋ.kɪt/
blanket,chăn ,/ˈblæŋ.kɪt/
sheet,tấm trải giường,/ʃiːt/
bed,phòng ngủ,/bed/
pillowcase,vỏ gối,/ˈpɪl.əʊ.keɪs/
fitted sheet,tấm trải giường  ôm nệm ,/ˈfɪt.ɪd ʃiːt/
hospital bed,Giường bệnh,/ˈhɒs.pɪ.təl bed/
canopy bed,Giường có mái che,/ˈkæn.ə.pi bed/
water bed,Giường nước,/ˈwɔː.tər bed/
cot,võng ( giường nhỏ ),/kɒt/
day bed,giường ngủ ngày ,/deɪ bed/
trundle bed,Giường trundle,/ˈtrʌn.dəl bed/
bunk bed,giường có gác,/bʌŋk bed/
king-size bed,giường cỡ lớn,/ bed/
queen-size bed,giường cỡ vừa,/ bed/
double bed,giường đôi,/ˈdʌb.əl bed/
box spring,hộp đỡ nệm ,/bɒks sprɪŋ/
mattress,nệm,/ˈmæt.rəs/
twin bed,giường đơn,/twɪn bed/
bureau,bàn văn phòng ,/ˈbjʊə.rəʊ/
dresser,tủ áo quần,/ˈdres.ər/
jewelry box,hộp trang sức,/ˈdʒu·əl·ri bɒks/
mirror,gương,/ˈmɪr.ər/
chest,tủ ,/tʃest/
clock radio,đài báo giờ,/klɒk ˈreɪ.di.əʊ/
alarm clock,đồng hồ báo thức,/əˈlɑːm klɒk/
nightstand,bàn đầu giường,/ˈnaɪt.stænd/
night table,nightstand ,/naɪt ˈteɪ.bəl/
blinds,rèm,/blaɪnd/
footboard,bệ cuối giường,//
quilt,chăn bông phủ giường,/kwɪlt/
dust ruffle,tấm chắn bụi dưới giường,/dʌst ˈrʌf.əl/
headboard,tấm chắn đầu giường,/ˈhed.bɔːd/
convertible sofa,sofa bed,/kənˈvɜː.tə.bəl ˈsəʊ.fə/
sofa bed,giường sofa,/ˈsəʊ.fə bed/
