serving cart,giỏ hàng phục vụ,/ˈsɜː.vɪŋ kɑːt/
candlestick,giá đỡ nến,/ˈkæn.dəl.stɪk/
butter dish,đĩa bơ,/ˈbʌt.ər dɪʃ/
tablecloth,khăn trãi bàn,/ˈteɪ.bəl.klɒθ/
chandelier,đèn treo,/ˌʃæn.dəˈlɪər/
sugar bowl,bát đường,/ˈʃʊɡ.ər bəʊl/
pepper shaker,lọ tiêu,/ˈpep.ər ˈʃeɪ.kər/
serving platter,khay ,/ˈsɜː.vɪŋ ˈplæt.ər/
china,đồ sứ,/ˈtʃaɪ.nə/
creamer,hủ kem,/ˈkriː.mər/
salt shaker,lọ muối,/sɒlt ˈʃeɪ.kər/
serving bowl,bát phục vụ,/ˈsɜː.vɪŋ bəʊl/
china cabinet,tủ đồ sứ,/ˈtʃaɪ.nə ˈkæb.ɪ.nət/
coffee pot,bình pha cà phê,/ˈkɒf.i pɒt/
centerpiece,trung tâm ( bàn ăn ),/ˈsen.tə.piːs/
pitcher,bình có quai,/ˈpɪtʃ.ər/
chair,ghế,/tʃeər/
teapot,ấm trà,/ˈtiː.pɒt/
candle,nến,/ˈkæn.dəl/
salad bowl,chén salad,/ˈsæl.əd bəʊl/
table,bàn ( bàn ăn ),/ˈteɪ.bəl/
buffet,đồ ăn tự phục vụ,/ˈbʊf.eɪ/
